jahr,wohnort,auspendler,arbeitsort,einpendler,produzierend,handel,sonstige
2000,22211,4685,26637,8796,7904,6436,11892
2001,22456,4916,26728,8849,7813,6529,12106
2002,22500,4866,26503,8755,7765,6439,12025
2003,21687,4903,25534,8662,7145,6467,11656
2004,21591,4997,25785,9114,7068,6752,11717
2005,21430,5167,25580,9266,6968,6706,11661
2006,21602,5219,26029,9602,7233,6863,11683
2007,22036,5556,26282,9745,7000,7135,11884
2008,22266,5801,26062,9551,5820,6878,13330
2009,22512,5817,26481,9739,5701,7169,13573
2010,22585,6069,26410,9852,5467,7143,13762
2011,23380,6276,26865,9705,5749,7084,13987
2012,23939,6381,27738,10130,5327,7725,14638
2013,24327,6622,27791,10031,4011,8087,15651
2014,25259,6920,28751,10351,3964,8471,16269
2015,26077,7210,29642,10758,4157,8905,16531
2016,27278,7791,30524,11015,4124,9289,17061
2017,28011,8218,30767,10952,4695,9119,16903
2018,28912,8630,31439,11139,4715,9288,17387
2019,29725,9013,31811,11080,4554,9364,17835
2020,29334,8667,31567,10883,4412,8982,18124
2021,29944,9163,32179,11383,4403,8940,18779
2022,30931,9553,32958,11567,3761,9476,19667
2023,31098,9583,33095,11566,3788,9472,19777
2024,31144,9600,33267,11705,3786,9424,20007
