jahr,gebaeude,wohnungen,belegungsdichte
2000,9483,39353,2.0
2001,9513,39641,2.0
2002,9547,39887,2.0
2003,9579,40032,2.0
2004,9651,40193,2.0
2005,9710,40366,2.0
2006,9817,40743,2.0
2007,9883,40982,2.0
2008,9928,41059,2.0
2009,9974,41235,2.0
2010,10287,41726,2.0
2011,10368,42090,2.0
2012,10427,42460,1.9
2013,10508,43060,1.9
2014,10574,43467,1.9
2015,10625,43973,1.9
2016,10646,44261,1.9
2017,10692,44563,1.9
2018,10729,44832,1.9
2019,10760,45064,1.9
2020,10805,45320,1.9
2021,10849,45637,1.9
2022,10895,45977,1.9
2023,10923,46226,1.9
2024,11074,47126,1.8
