alter,m_nd,w_nd,m_d,w_d
0_bis_unter_1,34,44,271,292
1_bis_unter_2,45,44,289,272
2_bis_unter_3,45,54,302,280
3_bis_unter_4,61,57,329,293
4_bis_unter_5,73,52,300,319
5_bis_unter_6,55,48,286,311
6_bis_unter_7,61,51,285,302
7_bis_unter_8,56,55,311,287
8_bis_unter_9,64,55,299,317
9_bis_unter_10,59,46,308,301
10_bis_unter_11,45,43,302,273
11_bis_unter_12,56,62,284,301
12_bis_unter_13,58,53,291,272
13_bis_unter_14,55,47,258,282
14_bis_unter_15,56,46,326,289
15_bis_unter_16,58,47,292,298
16_bis_unter_17,48,45,293,283
17_bis_unter_18,56,52,293,317
18_bis_unter_19,76,55,333,348
19_bis_unter_20,97,92,501,639
20_bis_unter_21,131,139,630,865
21_bis_unter_22,140,158,772,902
22_bis_unter_23,127,162,760,816
23_bis_unter_24,142,176,730,868
24_bis_unter_25,147,188,779,739
25_bis_unter_26,184,166,754,729
26_bis_unter_27,202,190,653,712
27_bis_unter_28,195,143,661,646
28_bis_unter_29,184,173,568,557
29_bis_unter_30,187,188,572,499
30_bis_unter_31,202,187,488,477
31_bis_unter_32,201,173,470,453
32_bis_unter_33,169,174,470,439
33_bis_unter_34,190,181,439,406
34_bis_unter_35,185,143,482,432
35_bis_unter_36,185,145,417,436
36_bis_unter_37,150,150,443,466
37_bis_unter_38,162,144,412,429
38_bis_unter_39,149,158,392,423
39_bis_unter_40,134,148,401,412
40_bis_unter_41,121,137,392,401
41_bis_unter_42,143,118,365,397
42_bis_unter_43,104,124,356,425
43_bis_unter_44,122,129,384,391
44_bis_unter_45,125,129,352,367
45_bis_unter_46,122,123,306,344
46_bis_unter_47,94,122,300,322
47_bis_unter_48,107,96,263,329
48_bis_unter_49,110,117,323,338
49_bis_unter_50,89,115,306,349
50_bis_unter_51,99,109,334,338
51_bis_unter_52,111,123,303,358
52_bis_unter_53,99,100,327,330
53_bis_unter_54,84,103,358,374
54_bis_unter_55,99,124,410,429
55_bis_unter_56,95,117,415,488
56_bis_unter_57,81,110,453,513
57_bis_unter_58,82,87,509,560
58_bis_unter_59,98,104,487,559
59_bis_unter_60,86,73,512,527
60_bis_unter_61,80,72,517,590
61_bis_unter_62,74,66,509,547
62_bis_unter_63,67,72,467,540
63_bis_unter_64,63,54,459,531
64_bis_unter_65,55,65,437,446
65_bis_unter_66,51,44,409,499
66_bis_unter_67,35,62,380,398
67_bis_unter_68,55,58,387,429
68_bis_unter_69,43,62,358,388
69_bis_unter_70,47,57,288,412
70_bis_unter_71,41,43,295,373
71_bis_unter_72,36,49,278,363
72_bis_unter_73,41,67,315,350
73_bis_unter_74,34,37,279,356
74_bis_unter_75,33,50,304,343
75_bis_unter_76,41,43,267,315
76_bis_unter_77,44,42,241,323
77_bis_unter_78,42,48,236,282
78_bis_unter_79,23,37,203,258
79_bis_unter_80,22,34,157,268
80_bis_unter_81,32,26,242,326
81_bis_unter_82,18,26,248,373
82_bis_unter_83,24,25,251,322
83_bis_unter_84,20,17,254,362
84_bis_unter_85,15,25,220,338
85_bis_unter_86,16,13,227,366
86_bis_unter_87,7,13,197,294
87_bis_unter_88,8,10,154,275
88_bis_unter_89,5,10,134,192
89_bis_unter_90,3,5,109,215
90_bis_unter_91,7,4,100,150
91_bis_unter_92,2,3,56,112
92_bis_unter_93,1,7,40,79
93_bis_unter_94,2,2,28,60
94_bis_unter_95,,3,27,66
95_bis_unter_96,,2,16,33
96_bis_unter_97,1,1,10,40
97_bis_unter_98,,2,8,31
98_bis_unter_99,,,5,15
99_bis_unter_100,1,,6,12
100_bis_unter_101,,1,1,7
101_bis_unter_102,,,1,5
102_bis_unter_103,,,,2
103_bis_unter_104,,,,1
104,,,,1
105,,,,3
