jahr,altstadt,paradies,petershausenwest,petershausenost,koenigsbau,allmannsdorf,staad,fuerstenberg,wollmatingen,industriegebiet,egg,litzelstetten,dingelsdorf,dettingen,wallhausen
1927,21265,,9875,9875,,1511,,,,,,,,,
1928,20696.0,,10443.0,10443.0,,1561.0,,,,,,,,,
1929,20635.0,,10791.0,10791.0,,1578.0,,,,,,,,,
1930,20141.0,,11302.0,11302.0,,1625.0,,,,,,,,,
1931,20037.0,,11347.0,11347.0,,1668.0,,,,,,,,,
1932,20155.0,,11535.0,11535.0,,1742.0,,,,,,,,,
1933,19793.0,,11420.0,11420.0,,1748.0,,,3298.0,,,,,,
1934,19692.0,,11932.0,11932.0,,1862.0,,,3344.0,,,,,,
1935,19507.0,,12621.0,12621.0,,1977.0,,,3378.0,,,,,,
1936,19267.0,,12694.0,12694.0,,2186.0,,,3648.0,,,,,,
1937,18840.0,,12971.0,12971.0,,2317.0,,,3886.0,,,,,,
1938,18689.0,,12845.0,12845.0,,2347.0,,,4071.0,,,,,,
1939,18862.0,,11553.0,11553.0,,2440.0,,,3688.0,,,,,,
1946,20578.0,,13734.0,13734.0,,1921.0,,,3168.0,,,,,,
1949,22111.0,,13438.0,13438.0,,2950.0,,,4281.0,,,,,,
1950,22062.0,,14846.0,14846.0,,2462.0,,,3564.0,,,,,,
1951,,,,,,,,,,,,,,,
1952,22341.0,,15389.0,15389.0,,3666.0,,,4946.0,,,,,,
1953,22565.0,,15910.0,15910.0,,3790.0,,,5427.0,,,,,,
1954,22707.0,,16216.0,16216.0,,3831.0,,,5516.0,,,,,,
1955,22529.0,,17343.0,17343.0,,4091.0,,,5623.0,,,,,,
1956,22817.0,,17881.0,17881.0,,4216.0,,,5699.0,,,,,,
1957,22717.0,,18380.0,18380.0,,4257.0,,,5897.0,,,,,,
1958,22380.0,,18520.0,18520.0,,4363.0,,,6032.0,,,,,,
1959,22107.0,,18940.0,18940.0,,4614.0,,,6412.0,,,,,,
1960,22225.0,,19323.0,19323.0,,4904.0,,,6837.0,,,,,,
1961,18555.0,3304.0,16348.0,16348.0,2832.0,3357.0,770.0,4603.0,2039.0,611.0,571.0,,,,
1962,18134.0,3300.0,16959.0,16959.0,3029.0,3549.0,769.0,5070.0,2021.0,684.0,472.0,,,,
1963,17795.0,3302.0,17347.0,17347.0,3131.0,3649.0,755.0,5937.0,2075.0,726.0,459.0,,,,
1964,17456.0,3426.0,17397.0,17397.0,3356.0,3835.0,792.0,7045.0,2157.0,855.0,466.0,,,,
1965,17339.0,3481.0,17323.0,17323.0,3688.0,4016.0,843.0,7673.0,2340.0,1066.0,464.0,,,,
1966,16722.0,3378.0,16914.0,16914.0,3772.0,4086.0,902.0,8017.0,3374.0,1142.0,442.0,,,,
1967,16661.0,3444.0,16588.0,16588.0,3758.0,4364.0,884.0,8036.0,3602.0,1140.0,487.0,,,,
1968,16584.0,3519.0,16541.0,16541.0,3823.0,4821.0,935.0,8167.0,3848.0,1320.0,497.0,,,,
1969,16394.0,3597.0,16275.0,16275.0,3804.0,5302.0,1129.0,8642.0,4112.0,1546.0,507.0,,,,
1970,16245.0,3689.0,16257.0,16257.0,3787.0,5409.0,1275.0,9061.0,4093.0,1663.0,641.0,,,,
1971,16011.0,3716.0,16367.0,16367.0,3668.0,5613.0,1407.0,9248.0,4150.0,1670.0,756.0,2581.0,,,
1972,15519.0,3944.0,15834.0,15834.0,3570.0,6211.0,1474.0,9916.0,4127.0,1638.0,526.0,2916.0,,,
1973,15209.0,3888.0,15540.0,15540.0,3487.0,6701.0,1607.0,10102.0,3990.0,1425.0,490.0,2990.0,,,
1974,14483.0,3873.0,15604.0,15604.0,3524.0,6751.0,1684.0,10182.0,3838.0,1162.0,494.0,3064.0,,,
1975,13396.0,3822.0,15411.0,15411.0,3800.0,6802.0,1715.0,10087.0,3836.0,1071.0,492.0,3075.0,1335.0,3289.0,1383.0
