jahr,wohnbevoelkerung_hauptwohnsitz,wohnberechtigte_haupt_und_nebenwohnsitz,wohnberechtigte_nebenwohnsitz
1995,72234,78581,6347
1996,73051,79045,5994
1997,73338,78907,5569
1998,73211,78659,5448
1999,73439,79082,5643
2000,73804,79299,5495
2001,74397,79887,5490
2002,75180,80640,5460
2003,75694,81216,5522
2004,76012,81748,5736
2005,76117,81919,5802
2006,76247,81808,5561
2007,76548,81389,4841
2008,77677,81757,4080
2009,78414,81958,3544
2010,79390,81033,1643
2011,80100,81704,1604
2012,81139,82665,1526
2013,82557,83995,1438
2014,83179,84536,1357
2015,84290,85535,1245
2016,85478,86642,1164
2017,85892,87044,1152
2018,86190,87323,1133
2019,86332,87492,1160
2020,85837,86950,1113
2021,86164,87300,1136
2022,87355,88447,1092
2023,87360,88450,1090
2024,87368,88442,1074
2025,87178,88233,1055
