jahr,bis_18,bis_30,bis_40,bis_50,bis_60,ueber_60
2000,11690,13838,13318,9555,8406,16997
2001,11765,14105,13022,9997,8180,17328
2002,11838,14601,12583,10337,8153,17668
2003,11838,15161,11999,10729,7996,17971
2004,11851,15341,11456,11147,7980,18237
2005,11852,15372,11076,11445,8173,18199
2006,11720,15565,10554,11778,8332,18298
2007,11539,16025,10108,11952,8510,18414
2008,11523,16949,9756,12138,8668,18643
2009,11541,17530,9437,12131,8939,18836
2010,11558,18220,9250,12156,9120,19086
2011,11520,18606,9357,11924,9443,19250
2012,11574,19293,9534,11508,9763,19467
2013,11686,20055,9858,11172,10178,19608
2014,11742,20164,10087,10752,10666,19768
2015,11842,20583,10417,10501,11051,19896
2016,12009,21082,10658,10079,11473,20177
2017,12090,21087,10909,9649,11696,20461
2018,12166,20906,11199,9345,11911,20663
2019,12223,20767,11385,9057,11899,21001
2020,12331,19793,11584,8837,11909,21383
2021,12339,19801,11632,8928,11646,21818
2022,12722,19921,11898,9153,11413,22248
2023,12609,19876,11939,9251,10999,22686
2024,12494,19675,12117,9357,10568,23157
