jahr,gesamt,deutsch,nichtdeutsch,eu,nichteu,asien,afrika,amerika
2000,73804,63739,10065,3930,4414,927,390,365
2001,74397,64342,10055,3748,4461,1039,404,362
2002,75180,64938,10242,3658,4698,1067,427,344
2003,75694,65470,10224,3581,4719,1128,398,357
2004,76012,66002,10010,3866,4214,1149,366,365
2005,76117,66315,9802,3763,4191,1080,376,344
2006,76247,66628,9619,3685,4124,1061,364,340
2007,76548,66881,9667,4103,3720,1082,363,354
2008,77677,67951,9726,4079,3723,1143,407,326
2009,78414,68613,9801,4135,3741,1138,402,343
2010,79390,69721,9669,4019,3757,1127,320,391
2011,80100,70229,9871,4215,3712,1165,337,392
2012,81139,71099,10040,4411,3642,1239,313,393
2013,82557,71903,10654,5289,3206,1371,329,402
2014,83179,72092,11087,5603,3187,1440,372,429
2015,84290,72286,12004,5994,3275,1814,422,441
2016,85478,72701,12777,6292,3197,2198,523,450
2017,85892,72795,13097,6464,3287,2220,565,446
2018,86190,72718,13472,6562,3376,2331,610,438
2019,86332,72612,13720,6673,3420,2323,641,477
2020,85837,72270,13567,6476,3530,2252,652,470
2021,86164,72173,13991,6549,3656,2425,643,524
2022,87355,72048,15307,6449,4963,2480,686,548
2023,87360,71952,15408,6314,4981,2596,696,555
2024,87368,71833,15535,6129,5134,2805,728,568
2025,87178,71612,15566,5972,5222,2870,741,605
