jahr,altstadt,paradies,petershausenwest,petershausenost,koenigsbau,allmannsdorf,staad,fuerstenberg,wollmatingen,industriegebiet,egg,litzelstetten,dingelsdorf,dettingen,wallhausen
1995,10815,4856,12494,6285,5130,4742,1717,11233,3622,926,415,3744,2000,3111,1144
1996,10839,4988,12746,6357,5360,4733,1699,11161,3826,898,454,3721,2015,3106,1148
1997,10790,5001,12556,6269,5359,4762,1685,11513,4062,895,447,3779,2003,3077,1140
1998,10666,4976,12266,6274,5337,4757,1682,11519,4426,876,481,3706,2053,3040,1152
1999,10525,4988,12457,6277,5269,4769,1651,11593,4749,850,469,3707,2008,3033,1094
2000,10669,5029,12348,6267,5397,4859,1635,11428,4944,822,509,3695,2049,3061,1092
2001,10740,5113,12417,6274,5490,4919,1677,11488,5008,847,556,3684,2019,3046,1119
2002,10859,5366,12542,6393,5408,4991,1645,11509,5111,877,589,3733,2006,3023,1128
2003,10916,5471,12571,6489,5341,5078,1649,11547,5230,916,616,3705,2050,2991,1124
2004,11096,5435,12507,6410,5321,5202,1668,11455,5441,918,628,3734,2072,2991,1134
2005,11112,5487,12397,6418,5354,5158,1684,11435,5581,902,615,3763,2072,3010,1129
2006,11220,5454,12431,6522,5345,5160,1704,11323,5648,895,619,3775,2035,3017,1099
2007,11282,5711,12635,6479,5344,5122,1683,11234,5665,886,639,3773,2024,3011,1060
2008,11463,5863,12927,6565,5380,5156,1703,11349,5826,883,627,3780,2048,3024,1083
2009,11545,5929,13071,6662,5233,5193,1738,11473,6004,883,616,3834,2078,3064,1091
2010,11762,6017,13208,6743,5222,5268,1747,11611,6137,908,646,3854,2082,3069,1116
2011,11866,5808,13436,6828,5536,5274,1710,11680,6232,933,699,3810,2103,3055,1130
2012,11894,5813,14202,6892,5569,5227,1761,11663,6357,915,731,3810,2121,3061,1123
2013,11923,6030,14843,6938,5662,5241,1790,11686,6561,960,736,3878,2138,3048,1123
2014,11947,6032,14891,7067,5773,5293,1813,11747,6613,951,770,3870,2122,3124,1166
2015,11987,6122,15347,7120,5853,5315,1797,12022,6683,1024,757,3819,2142,3141,1161
2016,11950,6116,15552,7156,6146,5305,1807,12233,6876,1081,779,3841,2137,3348,1151
2017,12064,6161,15616,7187,6194,5334,1813,12433,6795,1108,761,3814,2131,3334,1147
2018,12116,6113,16002,7273,6248,5341,1793,12346,6784,1093,763,3831,2094,3270,1123
2019,12138,6097,16021,7248,6181,5348,1779,12500,6775,1048,812,3861,2098,3289,1137
2020,12080,5994,15820,7270,6254,5308,1840,12369,6742,990,788,3823,2082,3342,1135
2021,11952,6009,16082,7245,6507,5328,1816,12382,6667,1002,805,3785,2056,3399,1129
2022,12129,6202,16309,7267,6669,5421,1846,12465,6645,1102,833,3820,2075,3422,1150
2023,12311,6023,16175,7332,6590,5416,1814,12490,6743,1215,805,3818,2078,3420,1130
2024,12392,6004,16225,7353,6549,5413,1819,12459,6776,1214,802,3790,2055,3389,1128
2025,12318,6002,16391,7340,6495,5346,1818,12470,6861,1097,788,3739,2026,3389,1098
