alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,50,45,292,267
1_bis_unter_2,51,59,314,287
2_bis_unter_3,61,60,349,296
3_bis_unter_4,74,59,302,320
4_bis_unter_5,59,46,290,314
5_bis_unter_6,72,60,284,300
6_bis_unter_7,58,51,315,286
7_bis_unter_8,62,57,305,326
8_bis_unter_9,55,48,309,299
9_bis_unter_10,45,46,300,270
10_bis_unter_11,54,60,283,300
11_bis_unter_12,61,62,288,275
12_bis_unter_13,57,51,260,277
13_bis_unter_14,55,48,325,292
14_bis_unter_15,59,52,288,299
15_bis_unter_16,44,38,291,286
16_bis_unter_17,52,48,294,309
17_bis_unter_18,57,44,293,264
18_bis_unter_19,73,55,382,378
19_bis_unter_20,87,79,519,655
20_bis_unter_21,120,134,692,851
21_bis_unter_22,126,170,752,845
22_bis_unter_23,127,168,716,911
23_bis_unter_24,133,156,822,832
24_bis_unter_25,165,185,780,805
25_bis_unter_26,194,175,746,782
26_bis_unter_27,179,150,725,722
27_bis_unter_28,178,192,613,590
28_bis_unter_29,179,172,615,538
29_bis_unter_30,211,192,509,496
30_bis_unter_31,200,166,470,460
31_bis_unter_32,171,174,486,456
32_bis_unter_33,191,185,454,403
33_bis_unter_34,183,149,502,420
34_bis_unter_35,193,164,419,437
35_bis_unter_36,165,149,439,470
36_bis_unter_37,172,144,404,428
37_bis_unter_38,161,167,377,428
38_bis_unter_39,137,142,419,408
39_bis_unter_40,115,137,389,405
40_bis_unter_41,145,125,367,397
41_bis_unter_42,103,123,361,424
42_bis_unter_43,120,126,380,394
43_bis_unter_44,123,134,356,372
44_bis_unter_45,128,122,304,342
45_bis_unter_46,101,126,299,317
46_bis_unter_47,105,99,278,330
47_bis_unter_48,106,120,323,333
48_bis_unter_49,90,118,312,357
49_bis_unter_50,99,114,336,342
50_bis_unter_51,115,124,302,353
51_bis_unter_52,105,106,327,331
52_bis_unter_53,85,101,354,378
53_bis_unter_54,112,122,420,431
54_bis_unter_55,91,121,411,482
55_bis_unter_56,84,110,455,513
56_bis_unter_57,87,88,510,559
57_bis_unter_58,97,106,490,558
58_bis_unter_59,95,73,517,532
59_bis_unter_60,74,77,521,582
60_bis_unter_61,74,68,509,548
61_bis_unter_62,69,70,466,541
62_bis_unter_63,64,52,466,533
63_bis_unter_64,59,66,440,449
64_bis_unter_65,52,44,415,494
65_bis_unter_66,35,63,386,394
66_bis_unter_67,57,62,382,431
67_bis_unter_68,42,63,357,388
68_bis_unter_69,51,55,296,411
69_bis_unter_70,45,42,299,380
70_bis_unter_71,36,52,283,372
71_bis_unter_72,41,67,318,350
72_bis_unter_73,35,37,291,365
73_bis_unter_74,36,51,314,349
74_bis_unter_75,43,46,274,321
75_bis_unter_76,46,43,249,331
76_bis_unter_77,43,50,247,287
77_bis_unter_78,23,41,207,263
78_bis_unter_79,25,34,167,274
79_bis_unter_80,36,26,250,335
80_bis_unter_81,19,30,258,391
81_bis_unter_82,29,25,256,334
82_bis_unter_83,23,21,272,380
83_bis_unter_84,15,24,246,361
84_bis_unter_85,19,16,249,378
85_bis_unter_86,9,14,212,318
86_bis_unter_87,8,11,175,300
87_bis_unter_88,7,10,144,211
88_bis_unter_89,6,5,126,242
89_bis_unter_90,10,4,116,171
90_bis_unter_91,2,3,67,125
91_bis_unter_92,1,9,51,94
92_bis_unter_93,2,3,36,75
93_bis_unter_94,1,3,34,81
94_bis_unter_95,,2,21,43
95_bis_unter_96,1,1,14,50
96_bis_unter_97,,3,10,37
97_bis_unter_98,,,6,21
98_bis_unter_99,1,1,10,20
99_bis_unter_100,,1,2,14
100_bis_unter_101,,,2,6
101_bis_unter_102,,,,2
102_bis_unter_103,,,,2
103_bis_unter_104,,,,3
104,,,1,3
105,,,,1
