jahr,gesamt,w,m,rk,ev
2000,73804,38724,35080,32524,18752
2001,74397,39002,35395,32443,18741
2002,75180,39426,35754,32368,18774
2003,75694,39775,35919,32005,18885
2004,76012,39939,36073,31661,18901
2005,76117,40042,36073,31498,18858
2006,76247,40205,36042,31361,18870
2007,76548,40318,36230,31235,18766
2008,77677,40851,36826,31458,18905
2009,78414,41154,37260,31412,19007
2010,79390,41573,37817,31496,19199
2011,80100,41880,38220,31376,19302
2012,81139,42430,38709,31470,19355
2013,82557,43120,39437,31268,19267
2014,83179,43402,39777,31009,19076
2015,84290,43818,40472,30716,18912
2016,85478,44312,41166,30551,18687
2017,85892,44498,41394,30360,18418
2018,86190,44696,41494,29922,18043
2019,86332,44871,41461,29341,17586
2020,85837,44669,41168,28535,17097
2021,86164,44958,41206,27442,16656
2022,87355,45612,41743,26172,16133
2023,87360,45585,41775,25159,15497
2024,87368,45663,41705,24372,15016
