jahr,einrichtungen,personal,kinder_u_jugendarbeit_stadt,kinder_u_jugendarbeit_freietraeger,investitionskosten
2006,3.42,7.54,1.2,0.18,0.49
2007,3.43,7.85,1.07,0.24,0.94
2008,3.5,8.32,1.4,0.29,1.46
2009,3.92,9.56,1.58,0.3,3.53
2010,4.33,10.6,1.53,0.3,4.71
2011,5.69,11.4,1.61,0.31,1.2
2012,5.86,12.51,1.57,0.33,2.25
2013,5.49,15.9,1.46,0.33,7.42
2014,7.88,16.8,1.73,0.33,4.48
2015,7.11,18.1,1.7,0.33,3.31
2016,8.0,19.1,1.7,0.33,0.65
2017,8.5,21.96,1.66,0.35,0.65
2018,8.87,24.19,2.51,0.38,1.73
2019,8.96,27.66,2.51,0.38,5.28
2020,9.38,27.49,1.77,0.38,4.32
2021,9.87,27.12,2.0,0.72,2.16
2022,10.87,27.37,1.82,0.65,1.18
2023,11.67,29.3,1.7,0.5,1.37
2024,13.1,33.9,1.99,0.5,0.96
2025,14.4,36.5,2.01,0.5,0.87
