jahr,unter_3_kita,ab_3_kita,ab_3_kita_spezial,schulkinder,gruppen,unter_3_tagespflege,ab_3_tagespflege,schulkinder_tagespflege
2012,486,2002,50,252,179,105,33,44
2013,446,2062,50,252,170,138,30,56
2014,503,2157,50,277,162,123,42,36
2015,555,2155,50,272,153,156,44,56
2016,659,2212,22,272,125,161,32,43
2017,706,2125,22,280,126,190,38,41
2018,658,2182,22,278,133,193,34,49
2019,681,2213,22,253,116,186,32,52
2020,643,2316,22,260,112,155,40,45
2021,609,2373,22,264,92,140,52,35
2022,638,2301,23,265,87,166,26,40
2023,627,2323,21,265,82,161,43,38
2024,569,2291,20,261,69,158,57,38
