jahr,temperatur,niederschlag,sonne
2000,10.7,847.0,1715.2
2001,10.7,895.7,1715.4
2002,10.7,1018.2,1688.6
2003,10.6,626.5,2059.5
2004,10.0,734.8,1741.3
2005,9.8,748.5,1799.4
2006,10.3,837.0,1844.9
2007,10.7,906.3,1929.4
2008,10.2,752.7,1849.6
2009,10.3,789.1,1757.2
2010,9.3,888.3,1627.6
2011,10.8,801.5,1948.6
2012,10.3,958.3,1900.0
2013,9.7,872.3,1601.8
2014,11.2,792.7,1707.7
2015,11.1,736.0,1858.6
2016,10.7,977.8,1688.5
2017,10.7,978.8,1927.3
2018,11.9,616.0,2116.8
2019,11.1,881.2,2050.2
2020,11.4,765.0,1930.6
2021,9.7,991.7,1956.9
2022,11.5,872.0,2253.9
2023,11.6,870.4,1951.4
2024,11.2,1072.5,1687.2
2025,10.6,888.1,1905.8
