jahr,k9_veranstaltungen,k9_besucher,kula_veranstaltungen,kula_besucher
2000,210,25000,170,40000
2001,150,11782,160,33920
2002,138,11183,141,31700
2003,136,12488,141,31735
2004,,,143,31942
2005,143,12761,150,26457
2006,148,15493,124,21138
2007,150,15579,114,17500
2008,115,11964,85,15052
2009,119,8892,82,16382
2010,116,8589,94,22819
2011,95,9080,86,23446
2012,117,10528,88,24033
2013,131,10232,93,22486
2014,144,11842,91,19057
2015,127,9650,60,22000
2016,155,13081,96,24363
2017,165,14290,84,21600
2018,186,13200,83,22220
2019,189,14700,95,26457
2020,100,5765,55,8500
2021,59,3808,31,3751
2022,135,5811,132,30000
2023,219,15508,110,32196
2024,178,9532,104,27565
2025,183.0,17862.0,106,26542
