jahr,konzerte,besucher,abos
2001/02,92,66613,2056
2002/03,96,67971,2047
2003/04,106,65285,
2004/05,120,81048,1920
2005/06,121,80832,1983
2006/07,131,75069,1937
2007/08,122,64424,1957
2008/09,131,68235,2071
2009/10,159,84052,2138
2010/11,144,87885,2387
2011/12,157,91196,2326
2012/13,120,63194,2220
2013/14,130,62836,2295
2014/15,141,76043,2523
2015/16,137,68028,2731
2016/17,149,75971,3086
2017/18,163,69082,3187
2018/19,156,66958,3226
2019/20,119,36261,3081
2020/21,44,6914,2785
2021/22,117,27884,2516
2022/23,138,44024,2332
2023/24,136,55411,2679
