jahr,musiker,verwaltung,budget,anteil_kn,anteil_bw
2001,59.0,7.0,4.16,1.64,1.64
2002,57.0,7.0,4.3,1.7,1.7
2003,61.0,9.0,4.5,1.6,1.8
2004,58.5,7.5,4.65,1.88,1.6
2005,61.25,9.0,4.8,1.98,1.62
2006,61.5,8.9,4.73,1.88,1.68
2007,62.0,9.0,4.9,1.7,2.03
2008,62.0,9.0,5.2,1.86,2.03
2009,62.0,11.0,5.61,1.9,2.03
2010,63.0,9.0,,,
2011,,,5.63,2.1,2.0
2012,63.0,9.0,5.55,2.11,2.06
2013,63.0,9.0,5.66,2.2,2.16
2014,61.0,11.0,5.9,2.29,2.21
2015,64.0,12.0,6.38,2.6,2.32
2016,63.65,11.14,6.39,2.72,2.35
2017,63.75,11.14,6.82,2.82,2.37
2018,63.75,11.14,7.02,2.95,2.41
2019,63.75,11.14,8.03,3.13,2.46
2020,63.75,11.14,7.03,3.22,2.5
2021,63.75,11.14,5.87,3.04,2.19
2022,63.75,11.14,7.0,3.32,2.62
2023,63.75,11.14,7.22,3.42,2.74
2024,63.75,11.14,7.7,3.6,2.89
