jahr,neuinszenierung,veranstaltungen,besucher
2001/02,25,605,94506
2002/03,22,644,81823
2003/04,24,720,93980
2004/05,25,716,86170
2005/06,27,687,81021
2006/07,31,945,112507
2007/08,36,1075,110123
2008/09,34,1024,96384
2009/10,27,1078,100390
2010/11,24,922,103091
2011/12,31,981,102135
2014/15,36,1057,107939
2015/16,30,1125,111661
2016/17,31,933,105731
2017/18,34,1000,102876
2018/19,35,1113,103998
2019/20,24,595,58617
2020/21,22,399,13970
2021/22,25,769,53798
2022/23,22,1040,83906
2023/24,19,954,93637
2024/25,19,938,94069
