jahr,personal_k,personal_t,personal_v,azubi,budget,eigenerloes,land,kommune,anteil
2011,53,40,9,9,7.8,1.58,1.63,4.51,1.47
2012,53,39,9,9,8.07,1.65,1.64,4.78,1.41
2015,53,36,11,12,9.21,1.71,1.77,5.49,1.66
2016,53,37,11,11,8.44,1.59,1.8,5.58,1.68
2017,53,37,10,12,9.51,1.89,1.84,5.78,1.68
2018,52,37,10,12,10.33,1.9,1.87,6.39,2.0
2019,55,39,11,7,10.78,2.06,1.89,6.6,2.06
2020,56,37,11,9,10.08,1.21,1.98,6.89,2.08
2021,50,39,11,11,8.99,1.16,2.01,6.74,2.1
2022,51,38,10,11,9.91,1.54,2.04,6.42,2.01
2023,51,37,9,11,10.5,2.16,2.06,6.86,2.02
2024,48,38,12,12,11.71,2.11,2.18,7.54,2.48
