jahr,hauptwerkreal,real,gemeinschaft,gymnasien
2000/01,23.9,28.8,0.0,47.3
2001/02,24.6,28.5,0.0,46.9
2002/03,23.1,28.7,0.0,48.2
2003/04,24.5,26.1,0.0,49.4
2004/05,19.8,28.5,0.0,51.7
2005/06,19.1,29.1,0.0,51.8
2006/07,19.8,24.3,0.0,55.9
2007/08,14.8,30.6,0.0,54.6
2008/09,16.5,27.8,0.0,55.7
2009/10,13.4,27.6,0.0,59.0
2010/11,15.4,24.5,0.0,60.1
2011/12,13.8,26.6,0.0,59.6
2012/13,6.0,18.4,12.9,62.6
2013/14,4.9,16.9,19.8,58.3
2014/15,4.0,14.9,21.0,60.1
2015/16,5.8,10.7,23.2,60.2
2016/17,3.8,16.2,22.5,57.6
2017/18,5.7,13.8,23.9,56.6
2018/19,3.4,17.0,22.6,57.1
2019/20,6.3,13.4,26.6,53.7
2020/21,4.2,15.7,22.8,57.3
2021/22,4.9,11.0,27.1,56.9
2022/23,2.1,8.0,37.5,52.4
2023/24,2.9,12.4,30.2,54.5
2024/25,3.0,9.9,31.9,55.2
