jahr,wirtschaft,kaufmann,beruf
2000/01,171,325,221
2001/02,184,359,213
2002/03,181,344,244
2003/04,162,304,277
2004/05,171,351,224
2005/06,162,304,277
2006/07,176,500,253
2007/08,169,521,313
2008/09,196,552,310
2009/10,232,542,292
2010/11,262,582,285
2011/12,260,557,267
2012/13,271,558,266
2013/14,278,507,315
2014/15,238,533,259
2015/16,218,523,300
2016/17,238,541,322
2017/18,232,514,299
2018/19,198,510,268
2019/20,183,449,242
2020/21,187,415,254
2021/22,200,343,286
2022/23,193,353,263
2023/24,171,353,255
2024/25,180,301,300
2025/26,152,401,234
