jahr,technisch,fach,teilzeit
2000/01,145,185,974
2001/02,157,242,1040
2002/03,149,270,976
2003/04,151,327,918
2004/05,152,261,846
2005/06,152,259,832
2006/07,160,224,967
2007/08,169,230,1021
2008/09,175,262,1025
2009/10,198,279,946
2010/11,202,261,902
2011/12,204,220,888
2012/13,199,195,869
2013/14,207,211,831
2014/15,219,237,844
2015/16,230,224,829
2016/17,210,228,840
2017/18,206,241,790
2018/19,202,264,753
2019/20,184,213,704
2020/21,187,221,733
2021/22,174,190,736
2022/23,177,209,700
2023/24,159,212,700
2024/25,138,246,695
2025/26,158,212,685
