jahr,vertrag,haus,fach,zahn,apotheken
2000,174,39,135,82,23
2001,171,38,133,77,23
2002,172,39,133,75,23
2003,169,39,130,71,24
2004,168,39,129,78,26
2005,228,57,171,70,26
2006,207,56,151,76,26
2007,209,56,153,73,25
2008,205,55,150,72,25
2009,210,56,154,86,26
2010,181,56,125,87,26
2011,219,56,163,88,25
2012,218,56,162,84,24
2013,219,55,164,81,23
2014,230,58,172,81,23
2015,234,56,178,82,23
2016,239,57,182,78,23
2017,247,57,190,79,23
2018,256,60,196,82,22
2019,255,59,196,78,22
2020,264,58,206,80,22
2021,263,62,201,79,22
2022,264,62,202,79,21
2023,258,60,198,79,20
2024,258,60,198,78,20
2025,264,64,200,75,20
