jahr,heime,heime_platz,wohngemeinschaften,wohngemeinschaften_platz,kulturzentrum,plegedienste,tagespflege,sozialedienste,wohnungen,betreuung_gruppen,betreuung_dienste
2000,8,481,,,1,15,,,,,
2001,8,529,,,1,18,,,,,
2002,8,538,,,1,16,2.0,4.0,594.0,,
2003,8,561,,,1,16,2.0,5.0,662.0,,
2004,9,572,,,1,14,2.0,5.0,667.0,,
2005,9,572,,,1,14,2.0,5.0,698.0,,
2006,9,604,,,1,14,2.0,5.0,716.0,,
2007,9,604,,,1,15,2.0,5.0,716.0,,
2008,9,604,,,1,15,2.0,6.0,740.0,,
2009,9,604,,,1,14,2.0,5.0,748.0,,
2010,10,612,,,1,14,2.0,6.0,742.0,,
2011,10,625,2.0,17.0,1,14,2.0,8.0,776.0,,
2012,9,608,3.0,26.0,1,14,2.0,6.0,759.0,,
2013,10,640,3.0,26.0,1,14,2.0,6.0,739.0,,
2014,10,649,3.0,26.0,1,14,2.0,6.0,739.0,4.0,3.0
2015,10,659,3.0,26.0,1,14,2.0,6.0,766.0,5.0,3.0
2016,10,659,3.0,26.0,1,14,2.0,6.0,766.0,4.0,
2017,10,659,3.0,26.0,1,14,2.0,9.0,750.0,,
2018,10,659,3.0,26.0,1,13,2.0,11.0,777.0,4.0,6.0
2019,10,650,4.0,43.0,1,12,2.0,11.0,777.0,4.0,6.0
2020,10,648,5.0,43.0,1,11,3.0,11.0,777.0,4.0,8.0
2021,11,707,5.0,43.0,1,11,3.0,12.0,777.0,2.0,10.0
2022,11,707,5.0,42.0,1,11,3.0,11.0,777.0,2.0,7.0
2023,11,711,5.0,44.0,1,12,3.0,12.0,777.0,2.0,9.0
2024,11,691,5.0,44.0,1,10,3.0,12.0,777.0,3.0,10.0
2025,11,691,5.0,44.0,1,10,3.0,13.0,777.0,3.0,10.0
