jahr,grosssport,sport,mehrzweck,gymnastik,platz,leichtathletik,beach,tennis,hockey,golf,minigolf,skate,rad,motocross,dirtbike,wasser,pfad,reit,schiess,flugplatz
2005,1,21,5,19,27,4,14,72,1,1,3,6,1,,,,2,3,2,1
2006,1,21,6,19,27,4,14,72,1,1,3,6,1,,,,2,3,2,1
2007,1,21,6,19,27,4,14,72,1,1,3,6,1,,,,2,3,2,1
2008,1,21,6,19,27,4,14,72,1,1,3,6,1,,,,2,3,2,1
2009,1,21,6,19,27,4,14,72,1,1,3,6,1,,,,2,3,2,1
2010,1,20,6,19,27,4,14,72,1,1,3,6,1,,,,2,3,2,1
2011,1,23,6,23,28,4,19,72,1,1,3,6,1,,1.0,,2,3,2,1
2012,1,23,6,24,28,4,19,75,1,1,3,6,1,,1.0,,2,3,2,1
2013,1,21,6,20,25,4,19,65,1,1,2,8,2,1.0,2.0,28.0,2,5,2,1
2014,1,21,6,20,25,4,19,65,1,1,2,8,2,1.0,2.0,28.0,2,5,2,1
2015,1,21,6,20,25,4,22,65,1,1,2,8,2,1.0,2.0,28.0,1,5,2,1
2016,2,21,6,20,25,4,22,65,1,1,2,8,2,1.0,2.0,28.0,1,5,2,1
2017,2,21,6,20,25,4,22,65,1,1,2,9,2,2.0,2.0,28.0,1,5,2,1
2018,2,21,6,20,25,4,22,65,1,1,2,8,2,1.0,2.0,28.0,1,5,2,1
2019,4,21,6,20,25,4,19,71,1,1,2,8,2,1.0,2.0,28.0,3,5,3,1
2020,4,21,6,20,25,4,19,71,1,1,2,8,2,1.0,2.0,28.0,3,5,3,1
2021,4,21,6,20,25,4,19,71,1,1,2,8,2,1.0,2.0,28.0,3,5,3,1
2022,4,21,6,20,25,4,19,71,1,1,2,8,2,1.0,2.0,28.0,3,5,3,1
2023,4,21,6,20,25,4,19,71,1,1,2,8,2,1.0,2.0,28.0,3,5,3,1
2024,4,21,6,20,25,4,19,71,1,1,2,8,2,1.0,2.0,28.0,3,5,3,1
2025,4,21,6,20,25,4,19,72,1,1,2,8,2,1.0,3.0,28.0,3,5,3,1
