jahr,bodenseetherme,schwaketen,hallen,rheinstrand,dingelsdorf,horn,litzelstetten,wallhausen,insgesamt
2000,288367,128438,39154,28438,32790,120000,33360,37160,707260
2001,292797.0,133208,41063,36814.0,30800,140000,37090,49400,761172
2002,263128.0,134045,44531,27023.0,31980,130600,29146,48400,708853
2003,272486.0,130589,45860,52240.0,57600,225900,35200,101400,921275
2004,243699.0,129246,44993,27880.0,41000,205500,25050,53000,770368
2005,163885.0,170316,68734,,37000,192500,24000,51550,707985
2006,,184307,18467,39264.0,42400,215000,23300,65500,588238
2007,143754.0,170753,9638,18446.0,36800,167500,20600,53800,621291
2008,328986.0,169433,2059,21116.0,43400,188300,30400,51900,835594
2009,345068.0,157376,1508,20481.0,56850,219000,39100,88900,928283
2010,368292.0,165439,1630,21153.0,53800,210000,31700,81500,933514
2011,392291.0,170418,1175,19866.0,63900,194000,32700,95000,969350
2012,416550.0,173872,0,27669.0,72650,230800,36150,113600,1071291
2013,432412.0,179708,0,36317.0,66000,259000,33000,100000,1106437
2014,384752.0,179782,0,17168.0,45600,140800,22700,73700,864502
2015,418325.0,89733,9328,39376.0,78600,278000,38500,119400,1071262
2016,438764.0,0,28065,32896.0,66000,272000,34200,112500,984425
2017,435879.0,0,28836,31414.0,65300,227000,33000,108600,930029
2018,436042.0,0,27624,42421.0,82000,331200,38600,133300,1091187
2019,451728.0,0,28935,36288.0,68200,284000,35400,110200,1014751
2020,199146.0,0,13478,19107.0,68200,306300,33930,122450,762611
2021,146457.0,0,2174,13151.0,45815,294600,26900,79260,608357
2022,316290.0,205308,1936,24957.0,48805,404525,22612,149236,1173669
2023,369115.0,308954,22360,25435.0,67502,440499,31492,130820,1396177
2024,364308.0,328422,23695,25201.0,63902,413656,30016,121442,1370642
2025,344365.0,332023,23179,20715.0,58279,386768,27885,110026,1303240
