jahr,anzahl,mitglieder,jugendliche
2000,92,28475,7820
2001,,28526,7840
2002,86.0,29496,8194
2003,92.0,29806,8240
2004,82.0,25552,7966
2005,95.0,31081,8298
2006,95.0,32364,9811
2007,95.0,32811,10265
2008,96.0,33145,10678
2009,96.0,34019,9988
2010,96.0,31868,9621
2011,97.0,29803,9675
2012,97.0,30148,9329
2013,97.0,30233,9362
2014,97.0,28781,8520
2015,97.0,28148,8613
2016,101.0,28259,8534
2017,101.0,28213,8753
2018,101.0,25462,8351
2019,101.0,24846,8120
2020,101.0,25434,8220
2021,101.0,24807,7818
2022,100.0,26168,8317
2023,100.0,26761,8521
2024,100.0,27525,8911
2025,103.0,27644,9066
