jahr,kern,pflege
2010 Wirtschaftsplan,5.25,11.94
2011 Wirtschaftsplan,6.3,12.13
2012 Wirtschaftsplan,5.81,12.33
2013 Wirtschaftsplan,5.59,12.49
2014 Wirtschaftsplan,5.58,13.19
2015 Wirtschaftsplan,5.9,14.5
2016 Wirtschaftsplan,6.0,15.3
2017 Wirtschaftsplan,6.15,15.55
2018 Wirtschaftsplan,6.35,19.38
2019 Wirtschaftsplan,6.29,18.35
2020 Wirtschaftsplan,6.61,20.18
2021 Wirtschaftsplan,6.83,21.63
2022 Wirtschaftsplan,6.41,22.09
2023 Wirtschaftsplan,7.02,24.33
2024 Wirtschaftsplan,7.22,25.95
2025 Wirtschaftsplan,8.43,31.87
