jahr,rest,bio,glas,papier,gruen,gelb,sperr,sonstige
2001,143,110,33,75,10,24,,
2002,130,112,33,77,11,25,,
2003,128,107,31,76,9,23,,
2004,133,99,30,83,9,23,14,25
2005,139,94,27,82,10,24,15,28
2006,125,92,28,85,10,25,16,25
2007,138,93,32,87,10,23,15,26
2008,136,90,,81,8,24,,
2009,138,91,27,78,9,23,13,33
2010,133,87,26,74,9,22,12,30
2011,131,89,28,77,9,22,13,31
2012,131,86,29,79,14,22,13,30
2013,135,86,29,81,21,24,13,30
2014,127,85,30,79,21,25,14,32
2015,129,84,30,78,25,26,14,34
2016,128,83,30,79,33,26,14,37
2017,127,81,29,78,31,25,14,36
2018,127,81,30,76,27,25,14,37
2019,130,82,30,75,33,25,14,37
2020,131,87,31,72,33,25,13,37
2021,128,87,31,70,46,24,13,37
2022,123,79,31,64,36,24,12,35
2023,123,76,29,61,36,23,12,36
2024,127,77,29,61,41,24,12,36
