jahr,rest,bio,glas,papier,gruen,gelb,sperr,sonstige
2001,11236,8657,2569,5876,763,1866,,
2002,10277,8874,2581,6111,842,1988,,
2003,10226,8588,2453,6067,744,1847,,
2004,10727,8019,2437,6739,766,1879,1137,2016
2005,11283,7661,2213,6677,783,1974,1208,2313
2006,10176,7496,2276,6642,812,2034,1300,1994
2007,11174,7541,2571,7010,771,1898,1249,2093
2008,11066,7360,,6589,690,1978,,
2009,11431,7551,2194,6437,776,1919,1079,2688
2010,11164,7260,2174,6179,757,1852,1037,2486
2011,11053,7531,2374,6512,771,1850,1090,2585
2012,11226,7333,2469,6788,1207,1843,1122,2564
2013,10759,6852,2341,6484,1685,1926,1068,2388
2014,10269,6871,2465,6439,1742,2014,1148,2581
2015,10545,6872,2433,6373,2028,2084,1145,2869
2016,10615,6836,2500,6514,2728,2137,1134,3088
2017,10621,6819,2458,6498,2629,2123,1154,3027
2018,10757,6858,2507,6455,2309,2134,1176,3145
2019,11052,6942,2517,6361,2836,2103,1164,3110
2020,11165,7349,2634,6087,2792,2089,1141,3164
2021,10790,7356,2622,5870,3843,2059,1061,3133
2022,10384,6709,2610,5451,3075,2008,1033,2950
2023,10615,6516,2524,5265,3053,1993,1051,2797
2024,10899,6580,2458,5265,3507,2069,1057,3073
