jahr,insgesamt,deponie,photovoltaik,bhkw
2013,15.615824,0.823959,8.302908,6.488957
2014,18.413767,0.687559,11.602034,6.124174
2015,19.311773,0.553183,12.07245,6.68614
2016,19.689327,0.469285,11.852551,7.367491
2017,20.112577,0.346109,12.53986,7.226608
2018,20.789507,0.141435,13.62481,7.023262
2019,22.128795,0.063542,13.6336487,8.4316043
2020,21.986987,0.047304,13.584662,8.355021
2021,23.696605,0.0,12.934278,10.762327
2022,25.821372,0.0,15.011874,10.809498
2023,28.142058,0.0,16.9567,11.185358
2024,28.988707,0.0,17.309669,11.679038
