jahr,strom,gas,waerme,wasser
2001,286.0,914.0,,5.0
2002,269.0,874.0,,5.0
2003,254.0,949.0,,5.5
2004,264.0,998.0,,5.1
2005,275.0,994.0,,5.0
2006,271.0,871.0,,5.1
2007,257.0,815.0,,5.0
2008,253.0,916.0,,4.8
2009,250.0,966.0,,4.9
2010,266.0,1053.0,,4.9
2011,303.0,1079.0,,4.8
2012,253.0,1233.0,,4.7
2013,234.0,1241.0,,4.8
2014,277.0,980.0,,4.9
2015,228.0,1134.0,,5.0
2016,217.0,1191.0,,5.0
2017,225.0,1194.0,74.0,5.2
2018,207.0,1027.0,72.0,5.2
2019,210.0,1084.0,75.0,5.2
2020,203.0,1009.0,74.0,5.2
2021,201.0,993.0,85.0,5.0
2022,179.0,741.0,73.0,4.9
2023,176.0,518.0,72.0,5.0
2024,160.0,507.0,74.0,5.0
