jahr,bestand,davon_e,personen,strecke
2000,56,,9.83,
2001,52,,10.44,
2002,54,,9.49,
2003,52,,10.09,
2004,52,,10.47,
2005,52,,10.5,
2006,52,,10.3,230.0
2007,52,,10.3,230.0
2008,52,,10.4,
2009,52,,10.7,230.0
2010,53,,11.2,230.0
2011,53,,11.1,230.0
2012,55,,11.4,230.0
2013,57,,12.1,230.1
2014,57,,12.0,230.1
2015,57,,12.1,230.1
2016,57,,12.4,230.1
2017,57,,12.6,230.0
2018,57,0,12.6,230.1
2019,57,0,13.3,230.1
2020,57,,9.7,230.1
2021,57,,9.0,230.1
2022,57,6,10.9,230.1
2023,57,6,10.2,230.1
2024,57,22,8.3,230.1
