jahr,pkw_privat,pkw_insgesamt,nutzfahrzeug,kraftrad
2007,379,31396,1921,3633
2008,374,31463,1961,3672
2009,377,32073,2018,3818
2010,376,32452,2087,3939
2011,377,32925,2188,4020
2012,379,33463,2214,4157
2013,377,33743,2249,4285
2014,381,34226,2295,4402
2015,382,34736,2366,4507
2016,381,35198,2455,4662
2017,374,35701,2504,4791
2018,376,36084,2559,4885
2019,377,36352,2676,4928
2020,388,37047,2739,5052
2021,388,37302,2787,5090
2022,379,37129,2868,5202
2023,375,36912,2908,5253
2024,377,37033,2975,5261
