jahr,ankuenfte,ankuenfte_ausland,uebernachtungen,uebernachtungen_ausland,deutschland,schweiz,frankreich,oesterreich,sonstige
2004,199146,34908,509637,71843,437794,12099,6573,7298,45873
2005,200353,36968,502421,72265,430156,14183,5706,6471,45905
2006,198081,41010,485146,80442,404704,16000,5967,5059,53416
2007,213513,43891,523984,84622,439362,19502,6513,4622,53985
2008,224618,46708,545372,91039,454333,21991,6538,7490,55020
2009,234509,47296,565566,89748,475818,25362,6746,6948,50692
2010,245264,53858,581693,97628,484065,30122,6940,8274,52292
2011,278749,65539,638931,119289,519642,42817,9207,7579,59686
2012,292892,71098,656761,128494,528267,49418,8892,8893,61291
2013,299313,77350,665877,138599,527278,55319,9580,8356,65344
2014,324403,85749,712055,153587,558468,63285,10762,9203,70337
2015,353570,96796,771380,168435,602945,71710,10614,9978,76133
2016,406052,106273,866123,190029,676094,78600,13421,12595,85413
2017,418976,108426,895864,192912,702952,77386,13603,12360,89563
2018,428518,113108,927062,201824,725238,82487,13811,14020,91506
2019,433461,115713,953278,210342,742936,82555,15801,15753,96233
2020,270306,46416,694981,83436,611545,46308,6597,7502,23029
2021,260776,34791,703380,65678,637702,28231,5223,7368,24856
2022,450403,101581,1060332,189326,871006,81692,17859,16306,73469
2023,482138,127332,1109580,232500,877080,98907,20731,17408,95454
2024,511650,136205,1157482,251185,906297,109126,19090,19638,103331
2025,544686,147474,1200048,268318,931730,111487,21581,21630,113620
