jahr,insgesamt,bergbau_und_gewinnung_von_steinen_und_erden,verarbeitendes_gewerbe,energie_und_wasserversorgung_abwasser_und_abfallentsorg_u_beseitigung_v_umweltverschm,handel_und_instandhaltung_und_reparatur_von_kraftfahrzeugen,verkehr_und_lagerei,gastgewerbe,information_und_kommunikation,baugewerbe_und_grundstuecks_und_wohnungswesen,erziehung_und_unterricht_und_gesundheits_u_sozialwesen,kunst_und_unterhaltung_und_erholung,erbringung_von_sonstigen_dienstleistungen
Berichtsjahr 2008,4077,1,258,17,800,76,388,181,562,444,122,1228
Berichtsjahr 2009,4129,1,249,19,812,66,393,183,627,453,114,1212
Berichtsjahr 2010,4127,1,239,22,796,76,393,191,627,445,114,1223
Berichtsjahr 2011,4159,1,233,26,805,73,385,178,640,452,117,1249
Berichtsjahr 2012,4211,1,236,29,826,71,390,171,672,450,114,1251
Berichtsjahr 2013,4288,1,237,31,864,69,393,177,672,445,125,1274
Berichtsjahr 2014,4429,1,243,34,886,75,405,187,685,481,137,1295
Berichtsjahr 2015,4294,1,241,37,890,67,417,191,450,486,142,1372
Berichtsjahr 2016,4331,1,245,36,898,74,424,191,447,490,142,1383
Berichtsjahr 2017,4410,1,242,35,911,76,434,191,453,479,158,1430
Berichtsjahr 2018,4495,1,243,38,924,74,467,193,463,479,156,1457
Berichtsjahr 2019,4597,1,237,38,921,76,474,210,467,500,161,1512
Berichtsjahr 2020,4319,1,220,32,857,72,425,197,479,474,143,1419
Berichtsjahr 2021,4349,1,219,37,872,68,430,202,480,525,131,1384
Berichtsjahr 2022,4361,1,212,36,841,64,453,204,467,538,145,1400
Berichtsjahr 2023,4496,1,212,41,844,67,459,222,476,553,345,1469
Berichtsjahr 2024,4587,1,213,39,837,69,479,212,508,558,160,1511
