jahr,bestand,bdigital,zeitschrifen,zdigital,ausleihe,downloads,besucher
2000,64652,,,,107355,,
2001,88000,,,,107000,,
2002,80194,,,,113424,,
2003,83870,,,,117625,,
2004,81523,,,,120494,,
2005,82429,,,,117625,,
2006,81723,,19167,,108254,,
2007,78251,,,,100686,,
2008,79058,,,,97084,,
2009,82659,15718,20695,20589,96374,,
2010,86167,23004,22500,22395,101009,,
2011,112054,29165,23652,23546,107188,,
2012,119774,38705,21973,21758,103125,,
2013,129096,44735,22785,22573,94608,409718,
2014,145167,63608,23651,23439,90256,759801,
2015,150896,70274,24919,24720,76168,900576,135077
2016,162581,79064,27031,26833,67435,832671,140040
2017,163697,83730,27770,27577,57572,951781,155871
2018,201917,123434,28541,28359,46858,1238529,156124
2019,213347,139816,24292,24117,40905,1005428,159776
2020,229825,163514,24555,24380,35372,1557348,59537
2021,256977,193134,25285,25154,47568,1734989,47798
2022,271906,207300,25165,25058,28010,1900000,129467
2023,298144,233403,26652,26540,16110,1900000,165077
2024,273845,209861,23682,23582,14321,1100000,175605
