jahr,aevo,technisch,fachkauf,fachwirt,meister,sonstige,insgesamt
2001,88,20,15,,40,,163
2002,263,17,55,50,102,,487
2003,283,14,25,63,107,,492
2004,313,0,40,31,34,,418
2005,248,33,82,65,139,,567
2006,63,32,42,123,75,,335
2007,371,39,59,80,18,,567
2008,219,7,56,113,119,,514
2009,512,53,180,275,204,,1224
2010,440,16,48,113,65,38,720
2011,534,23,40,107,70,127,901
2012,422,34,52,157,92,165,922
2013,506,46,55,162,71,114,954
2014,494,33,56,130,64,191,968
2015,595,48,62,243,98,177,1223
2016,520,42,87,269,207,150,1275
2017,528,42,67,210,125,101,1073
2018,586,39,4,263,142,108,1142
2019,583,39,47,211,101,118,1099
2020,458,37,19,111,76,116,817
2021,516,37,29,185,122,186,1075
2022,563,26,34,183,106,193,1105
2023,598,59,13,156,69,215,1100
2024,595,24,26,156,90,221,1112
