jahr,bestand,ausleihe,besucher
2000,93079,312108,
2001,92341,330729,
2002,96875,354363,
2003,96106,366479,
2004,102031,412570,
2005,93480,376697,
2006,95319,372407,
2007,104534,372294,183512
2008,98514,368845,165030
2009,82089,417661,202392
2010,78552,438663,203115
2011,77976,482804,205006
2012,78550,504698,204189
2013,81070,513434,169056
2014,82731,515419,198911
2015,77838,521640,195780
2016,78704,532237,196180
2017,81080,515530,196101
2018,82442,519793,196200
2019,81392,551417,197300
2020,75174,444852,160000
2021,80903,335379,119160
2022,77680,411639,136980
2023,82350,441072,145200
2024,83845,448678,146000
