jahr,studierende,nichtdeutsch,stem,humanities,sonstige
2000/01,7643,1033,2105,2057,3481
2001/02,7981,1067,2218,2268,3495
2002/03,8703,1218,2281,2551,3871
2003/04,9368,1303,2444,2962,3962
2004/05,10109,1449,2580,3570,3959
2005/06,10384,1403,2611,3774,3999
2006/07,10076,1357,2568,3838,3670
2007/08,9326,1274,2538,3525,3263
2008/09,9273,1204,2683,3477,3113
2009/10,9525,1208,2855,3561,3109
2010/11,10082,1260,3066,3576,3440
2011/12,10644,1249,3343,3619,3682
2012/13,11336,1283,3574,3786,3976
2013/14,11772,1353,3564,3836,4372
2014/15,11711,1374,3515,3734,4462
2015/16,11662,1427,3565,3545,4551
2016/17,11706,1520,3542,3541,4623
2017/18,11389,1490,3534,3369,4485
2018/19,11268,1461,3565,3346,4357
2019/20,11163,1439,3506,3365,4291
2020/21,11230,1296,3572,3406,4252
2021/22,11067,1396,3549,3389,4129
2022/23,10987,1454,3613,3395,3978
2023/24,10627,1411,3613,3302,3712
2024/25,10150,1405,3529,3084,3537
