jahr,teilnehmer,online,inkn
2000,22410,,8600
2001,21650,,8970
2002,26202,,12886
2003,36438,,19551
2004,33205,,16187
2005,34218,,16504
2006,33000,,18006
2007,35497,,20711
2008,39153,,20951
2009,35787,,20800
2010,32326,,19404
2011,30575,,17968
2012,27129,,14840
2013,33623,,20529
2014,32562,,20778
2015,31866,,19301
2016,34301,,19402
2017,35264,,18697
2018,34263,,16378
2019,37672,,19569
2020,21166,,8828
2021,17534,8054,3848
2022,23520,3626,9233
2023,26671,1815,11903
2024,30856,2777,14964
